date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2023-05-01,,,,,8162,,,,
2023-05-02,,,,,3910,,,,
2023-05-03,,,,,5485,,,,
2023-05-04,,,,,5320,,,,
2023-05-05,,,,,7675,,,,
2023-05-06,,,,,5663,,,,
2023-05-07,,,,,7016,,,,
2023-05-08,,,,,10743,,,,
2023-05-09,,,,,7246,,,,
2023-05-10,,,,,14879,,,,
2023-05-11,,,,,13958,,,,
2023-05-12,,,,,11339,,,,
2023-05-13,,,,,12823,,,,
2023-05-14,,,,,8946,,,,
2023-05-15,,,,,19030,,,,
2023-05-16,,,,,10448,,,,
2023-05-17,,,,,2505,,,,
2023-05-18,,,51.7,,7010,,,,
2023-05-19,,,,,10096,,,,
2023-05-20,,,,,5935,,,,
2023-05-21,,,,,8962,,,,
2023-05-22,,,51.3,,7546,,,,
2023-05-23,,,,,9319,,,,
2023-05-24,,,,,6851,,,,
2023-05-25,,,,,8723,,,,
2023-05-26,,,,,7808,,,,
2023-05-27,,,,,10819,,,,
2023-05-28,,,,,7077,,,,
2023-05-29,,,,,16013,,,,
2023-05-30,,,,,1748,,,,
2023-05-31,,,,,12331,,,,
