date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2021-12-01,,,,,9240,,,,
2021-12-02,,,,,3181,,,,
2021-12-03,,,,,12423,,,,
2021-12-04,,,,,7636,,,,
2021-12-05,,,,,10913,,,,
2021-12-06,,,,,7027,,,,
2021-12-07,,,,,12459,,,,
2021-12-08,,,,,8952,,,,
2021-12-09,,,,,7577,,,,
2021-12-10,,,,,8824,,,,
2021-12-11,,,,,5113,,,,
2021-12-12,,,,,7193,,,,
2021-12-13,,,,,8766,,,,
2021-12-14,,,,,8632,,,,
2021-12-15,,,,,10500,,,,
2021-12-16,,,,,9400,,,,
2021-12-17,,,,,8729,,,,
2021-12-18,,,,,7546,,,,
2021-12-19,,,,,5374,,,,
2021-12-20,,,,,8115,,,,
2021-12-21,,,,,4905,,,,
2021-12-22,,,,,9836,,,,
2021-12-23,,,,,7956,,,,
2021-12-24,,,,,7221,,,,
2021-12-25,,,,,6232,,,,
2021-12-26,,,,,6605,,,,
2021-12-27,,,,,7599,,,,
2021-12-28,,,,,4595,,,,
2021-12-29,83.0,39.1,50.5,,12732,,,,
2021-12-30,,,,,265,,,,
2021-12-31,,,,,5753,,,,
