date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2020-07-03,91.2,,,,,,,,
2020-07-13,91.5,32.5,61.8,,,,,,
2020-07-14,91.0,,,,278,,,,
2020-07-15,,,,,784,,,,
2020-07-16,90.0,31.9,61.3,,9922,,,,
2020-07-17,,,,,10454,,,,
2020-07-18,,,,,11374,,,,
2020-07-19,,,,,5277,,,,
2020-07-20,,,,,453,,,,
2020-07-21,,,,,3880,,,,
2020-07-22,,,,,9381,,,,
2020-07-23,,,,,3769,,,,
2020-07-24,,,,,2795,,,,
2020-07-25,,,,,2316,,,,
2020-07-26,,,,,2830,,,,
2020-07-27,,,,,3866,,,,
2020-07-28,,,,,8340,,,,
2020-07-29,,,,,1147,,,,
2020-07-30,,,,,6330,,,,
2020-07-31,,,,,1195,,,,
