date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2020-09-01,,,,,10519,,,,
2020-09-02,,,,,4410,,,,
2020-09-03,,,,,8923,,,,
2020-09-04,,,,,4385,,,,
2020-09-05,,,,,9688,,,,
2020-09-06,,,,,13975,,,,
2020-09-07,,,,,15829,,,,
2020-09-08,,,,,15636,,,,
2020-09-09,,,,,13977,,,,
2020-09-10,,,,,8029,,,,
2020-09-11,,,,,8784,,,,
2020-09-12,,,,,5930,,,,
2020-09-13,,,,,9312,,,,
2020-09-14,,,,,8084,,,,
2020-09-15,,,,,19005,,,,
2020-09-16,,,,,13358,,,,
2020-09-17,,,,,12367,,,,
2020-09-18,,,,,4816,,,,
2020-09-19,89.7,,,,6568,,,,
2020-09-20,,,,,8445,,,,
2020-09-21,,,,,14002,,,,
2020-09-22,,,,,14941,,,,
2020-09-23,,,,,5259,,,,
2020-09-24,,,,,7279,,,,
2020-09-25,,,,,3515,,,,
2020-09-26,,,,,10182,,,,
2020-09-27,,,,,6180,,,,
2020-09-28,,,,,5512,,,,
2020-09-29,,,,,7565,,,,
2020-09-30,88.0,30.5,61.2,,2543,,,,
