date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2023-07-01,,,50.9,,10249,,,,
2023-07-02,,,,,8620,,,,
2023-07-03,,,,,8039,,,,
2023-07-04,,,,,8484,,,,
2023-07-05,,,,,3035,,,,
2023-07-06,,,50.2,,3878,,,,
2023-07-07,,,,,464,,,,
2023-07-08,,,,,4031,,,,
2023-07-09,,,,,6470,,,,
2023-07-10,,,,,5771,,,,
2023-07-11,,,,,5887,,,,
2023-07-12,,,,,5249,,,,
2023-07-13,,,,,4569,,,,
2023-07-14,,,,,11243,,,,
2023-07-15,,,,,4810,,,,
2023-07-16,,,,,8383,,,,
2023-07-17,,,,,4976,,,,
2023-07-18,,,,,5211,,,,
2023-07-19,,,,,5183,,,,
2023-07-20,,,,,6049,,,,
2023-07-21,,,,,7810,,,,
2023-07-22,,,,,4137,,,,
2023-07-23,,,,,4579,,,,
2023-07-24,,,,,4837,,,,
2023-07-25,,,,,4946,,,,
2023-07-26,,,,,5994,,,,
2023-07-27,,,,,7954,,,,
2023-07-28,,,,,8933,,,,
2023-07-29,,,,,1080,,,,
2023-07-30,,,,,2074,,,,
2023-07-31,,,,,3613,,,,
