date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2023-06-01,,,,,17543,,,,
2023-06-02,,,,,5033,,,,
2023-06-03,,,51.0,,7449,,,,
2023-06-04,,,,,9264,,,,
2023-06-05,,,,,5975,,,,
2023-06-06,,,,,7923,,,,
2023-06-07,,,,,6205,,,,
2023-06-08,,,,,3344,,,,
2023-06-09,,,,,15661,,,,
2023-06-10,,,,,1917,,,,
2023-06-11,,,,,11584,,,,
2023-06-12,,,,,5716,,,,
2023-06-13,,,,,5619,,,,
2023-06-14,,,50.4,,7909,,,,
2023-06-15,,,,,6365,,,,
2023-06-16,,,,,3014,,,,
2023-06-17,,,,,3586,,,,
2023-06-18,,,,,6807,,,,
2023-06-19,,,50.6,,10198,,,,
2023-06-20,,,,,5348,,,,
2023-06-21,,,,,4337,,,,
2023-06-22,,,,,1822,,,,
2023-06-23,,,50.7,,8700,,,,
2023-06-24,,,,,6331,,,,
2023-06-25,,,50.2,,5531,,,,
2023-06-26,,,,,9194,,,,
2023-06-27,,,,,12110,,,,
2023-06-28,,,,,6388,,,,
2023-06-29,,,51.2,,15382,,,,
2023-06-30,,,,,4434,,,,
