date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2023-01-01,,,,,939,,,,
2023-01-02,,,,,2420,,,,
2023-01-03,,,,,2897,,,,
2023-01-04,87.1,40.7,51.7,,4174,,,,
2023-01-05,,,,,5814,,,,
2023-01-06,,,,,6197,,,,
2023-01-07,87.7,40.6,52.1,,6194,,,,
2023-01-08,,,,,6654,,,,
2023-01-09,,,,,10807,,,,
2023-01-10,,,,,5246,,,,
2023-01-11,,,,,9718,,,,
2023-01-12,,,,,11351,,,,
2023-01-13,87.7,40.7,52.0,,7820,,,,
2023-01-14,,,,,3409,,,,
2023-01-15,,,,,4224,,,,
2023-01-16,,,,,2298,,,,
2023-01-17,,,,,11109,,,,
2023-01-18,,,,,9282,,,,
2023-01-19,,,,,8069,,,,
2023-01-20,,,,,12109,,,,
2023-01-21,,,,,6519,,,,
2023-01-22,,,,,7134,,,,
2023-01-23,,,,,11836,,,,
2023-01-24,,,,,10863,,,,
2023-01-25,,,,,9759,,,,
2023-01-26,,,,,4828,,,,
2023-01-27,84.8,,,,7028,,,,
2023-01-28,,,,,4963,,,,
2023-01-29,,,,,4747,,,,
2023-01-30,,,,,8829,,,,
2023-01-31,,,,,7298,,,,
