date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2021-11-01,,,,,7956,,,,
2021-11-02,,,,,13629,,,,
2021-11-03,,,,,10622,,,,
2021-11-04,,,,,6320,,,,
2021-11-05,80.7,38.4,49.7,,470,,,,
2021-11-06,,,,,3564,,,,
2021-11-07,,,,,10006,,,,
2021-11-08,,,,,7155,,,,
2021-11-09,,,,,7277,,,,
2021-11-10,,,,,7686,,,,
2021-11-11,,,,,5206,,,,
2021-11-12,,,,,11159,,,,
2021-11-13,,,,,4272,,,,
2021-11-14,,,,,13520,,,,
2021-11-15,,,,,6448,,,,
2021-11-16,,,,,6457,,,,
2021-11-17,,,,,10315,,,,
2021-11-18,,,,,3201,,,,
2021-11-19,,,,,4764,,,,
2021-11-20,80.7,38.7,49.5,,4414,,,,
2021-11-21,,,,,9960,,,,
2021-11-22,,,,,6339,,,,
2021-11-23,,,,,6911,,,,
2021-11-24,,,,,4601,,,,
2021-11-25,,,,,4340,,,,
2021-11-26,,,,,6403,,,,
2021-11-27,,,,,15784,,,,
2021-11-28,,,,,4688,,,,
2021-11-29,,,,,8089,,,,
2021-11-30,,,,,6205,,,,
