date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2025-11-01,81.9,,,,8000,63,73,6.52,
2025-11-02,82.2,,,,12578,63,97.1395,6.78,
2025-11-03,82.0,,,,12975,67,111.057,8.51,
2025-11-04,81.9,,,,3155,63,63,7.00,
2025-11-05,,,,,2916,62,64,7.84,
2025-11-06,,,,,2781,64,74,7.64,
2025-11-07,82.4,,,,6786,64,67,8.23,
2025-11-08,,,,,6141,67,70,6.09,
2025-11-09,82.3,,,,4120,66,72,8.71,
2025-11-10,,,,,3266,68,80,7.77,
2025-11-11,82.6,,,,3363,69,88,6.00,
2025-11-12,81.8,,,,2073,65,76,5.36,
2025-11-13,82.3,,,,3813,70,89,7.25,
2025-11-14,,,,,4555,73,84,8.30,
2025-11-15,,,,,11170,79,79,7.29,
2025-11-16,83.1,,,,12861,64,146.689,8.00,
2025-11-17,82.5,,,,14869,67,110.671,6.39,
2025-11-18,83.0,,,,21025,69,104.177,8.20,
2025-11-19,83.5,,,,14177,65,96.2174,6.19,
2025-11-20,83.3,,,,11858,62,64,9.61,
2025-11-21,83.2,,,,6768,63,68,4.26,
2025-11-22,,,,,20043,61,67,7.65,
2025-11-23,83.5,,,,14015,60,95.4579,6.96,
2025-11-24,,,,,17824,65,76,7.96,
2025-11-25,,,,,21093,63,98.2462,6.92,
2025-11-26,,,,,21289,64,106.86,5.02,
2025-11-27,81.7,,,,7806,59,91.5967,8.48,
2025-11-28,82.5,,,,6673,61,63,6.28,
2025-11-29,82.2,,,,2655,59,69,5.88,
2025-11-30,83.0,,,,9720,64,67,9.33,
