date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2021-06-01,,,,,6407,,,,
2021-06-02,,,,,7763,,,,
2021-06-03,,,,,7176,,,,
2021-06-04,,,,,10519,,,,
2021-06-05,,,,,6970,,,,
2021-06-06,,,,,4383,,,,
2021-06-07,,,,,6734,,,,
2021-06-08,,,,,9420,,,,
2021-06-09,,,,,10461,,,,
2021-06-10,,,,,7729,,,,
2021-06-11,,,,,7217,,,,
2021-06-12,80.9,27.2,58.9,,6523,,,,
2021-06-13,,,,,9765,,,,
2021-06-14,,,,,8176,,,,
2021-06-15,,,,,7984,,,,
2021-06-16,,,,,9153,,,,
2021-06-17,,,,,11737,,,,
2021-06-18,,,,,8657,,,,
2021-06-19,,,,,2768,,,,
2021-06-20,,,,,8130,,,,
2021-06-21,,,,,7083,,,,
2021-06-22,,,,,5331,,,,
2021-06-23,,,,,4533,,,,
2021-06-24,,,,,8255,,,,
2021-06-25,,,,,9195,,,,
2021-06-26,,,,,3437,,,,
2021-06-27,,,,,4718,,,,
2021-06-28,,,,,7507,,,,
2021-06-29,,,,,5344,,,,
2021-06-30,,,,,5873,,,,
