date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2024-09-01,,,,,3059,,,,
2024-09-02,,,,,1134,,,,
2024-09-03,,,,,4746,,,,
2024-09-04,,,,,4203,,,,
2024-09-05,,,,,5723,,,,
2024-09-06,,,,,2261,,,,
2024-09-07,,,,,532,,,,
2024-09-08,,,,,716,,,,
2024-09-09,,,,,5246,,,,
2024-09-10,,,,,9235,,,,
2024-09-11,,,,,3755,,,,
2024-09-12,,,,,5215,,,,
2024-09-13,,,,,8711,,,,
2024-09-14,,,,,6801,,,,
2024-09-15,,,,,12723,,,,
2024-09-16,,,,,1352,,,,
2024-09-17,,,,,1998,,,,
2024-09-18,,,,,2148,,,,
2024-09-19,,,,,3305,,,,
2024-09-20,,,,,1807,,,,
2024-09-21,,,,,802,,,,
2024-09-22,,,,,1528,,,,
2024-09-23,,,,,6281,,,,
2024-09-24,,,,,8031,,,,
2024-09-25,,,,,6225,,,,
2024-09-26,,,,,4395,,,,
2024-09-27,,,,,4184,,,,
2024-09-28,,,,,6605,,,,
2024-09-29,,,,,878,,,,
2024-09-30,,,,,2684,,,,
