date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2024-11-01,87.4,,,,460,,,,
2024-11-02,,,,,8612,,,,
2024-11-03,88.2,,,,4385,,,,
2024-11-04,87.7,,,,8508,,,,
2024-11-05,87.0,,,,3761,,,,
2024-11-06,87.2,,,,5187,,,,
2024-11-07,,,,,7679,,,,
2024-11-08,87.5,,,,6522,,,,
2024-11-09,87.8,,,,7145,,,,
2024-11-10,87.6,,,,13777,,,,
2024-11-11,86.8,,,,10628,,,,
2024-11-12,,,,,11602,,,,
2024-11-13,,,,,18525,,167,,
2024-11-14,,,,,18888,,93,,
2024-11-15,86.4,,,,21912,,112,,
2024-11-16,,,,,17880,,151,,
2024-11-17,,,,,1750,,,,
2024-11-18,85.8,,,,28182,,105,,
2024-11-19,,,,,18754,,114,,
2024-11-20,,,,,15124,,127,,
2024-11-21,,,,,23451,,161,,
2024-11-22,85.7,,,,18956,,114,,
2024-11-23,,,,,19081,,98,,
2024-11-24,,,,,6122,,,,
2024-11-25,85.5,,,,16263,,85,,
2024-11-26,,,,,13473,,110,,
2024-11-27,,,,,17154,,109,,
2024-11-28,,,,,6459,,105,,
2024-11-29,,,,,22280,,98,,
2024-11-30,,,,,22995,,95,,
