date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2024-04-01,,,,,9336,,,,
2024-04-02,,,,,6407,,,,
2024-04-03,,,,,7877,,,,
2024-04-04,,,,,5370,,,,
2024-04-05,,,,,6007,,,,
2024-04-06,,,,,6466,,,,
2024-04-07,,,,,1768,,,,
2024-04-08,,,,,8821,,,,
2024-04-09,,,,,8011,,,,
2024-04-10,92.2,,,,7250,,,,
2024-04-11,,,,,5828,,,,
2024-04-12,,,,,2635,,,,
2024-04-13,,,,,1627,,,,
2024-04-14,,,,,2324,,,,
2024-04-15,,,,,6441,,,,
2024-04-16,,,,,2135,,,,
2024-04-17,,,,,4138,,,,
2024-04-18,,,,,5799,,,,
2024-04-19,,,,,2187,,,,
2024-04-20,,,,,1451,,,,
2024-04-21,91.7,,,,4810,,,,
2024-04-22,,,,,7073,,,,
2024-04-23,,,,,6822,,,,
2024-04-24,,,,,8540,,,,
2024-04-25,,,,,7178,,,,
2024-04-26,,,,,6835,,,,
2024-04-27,,,,,5190,,,,
2024-04-28,,,,,1124,,,,
2024-04-29,,,,,5910,,,,
2024-04-30,,,,,3413,,,,
