date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2021-08-01,,,,,2377,,,,
2021-08-02,,,,,14589,,,,
2021-08-03,81.0,27.1,59.0,,902,,,,
2021-08-04,81.4,27.3,59.2,,2040,,,,
2021-08-05,81.2,,,,2888,,,,
2021-08-06,,,,,4177,,,,
2021-08-07,79.7,27.1,58.1,,15306,,,,
2021-08-08,,,,,4171,,,,
2021-08-09,,,,,2577,,,,
2021-08-10,80.7,27.4,58.6,,3934,,,,
2021-08-11,,,,,715,,,,
2021-08-12,,,,,2996,,,,
2021-08-13,,,,,4201,,,,
2021-08-14,82.4,28.0,59.3,,11260,,,,
2021-08-15,,,,,1756,,,,
2021-08-16,81.8,,,,4868,,,,
2021-08-17,80.9,27.5,58.7,,1693,,,,
2021-08-18,,,,,857,,,,
2021-08-19,,,,,4260,,,,
2021-08-20,,,,,9541,,,,
2021-08-21,,,,,6503,,,,
2021-08-22,,,,,12930,,,,
2021-08-23,,,,,2527,,,,
2021-08-24,,,,,10013,,,,
2021-08-25,83.0,28.2,59.6,,12319,,,,
2021-08-26,,,,,1589,,,,
2021-08-27,83.1,28.6,59.3,,4076,,,,
2021-08-28,83.3,28.6,59.5,,4346,,,,
2021-08-29,,,,,15452,,,,
2021-08-30,,,,,11228,,,,
2021-08-31,,,,,5677,,,,
