date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2022-06-01,,,,,1259,,,,
2022-06-02,,,,,2466,,,,
2022-06-03,,,,,1784,,,,
2022-06-04,,,,,4238,,,,
2022-06-05,,,,,2604,,,,
2022-06-06,,,,,1416,,,,
2022-06-07,,,,,817,,,,
2022-06-08,,,,,6999,,,,
2022-06-09,,,,,1032,,,,
2022-06-10,,,,,919,,,,
2022-06-11,,,,,1691,,,,
2022-06-12,,,,,1478,,,,
2022-06-13,,,,,1361,,,,
2022-06-14,,,,,873,,,,
2022-06-15,,,,,823,,,,
2022-06-16,,,,,1070,,,,
2022-06-17,84.9,40.4,50.6,,5044,,,,
2022-06-18,,,,,3723,,,,
2022-06-19,,,,,7007,,,,
2022-06-20,,,,,1545,,,,
2022-06-21,,,,,5375,,,,
2022-06-22,,,,,1594,,,,
2022-06-23,,,,,733,,,,
2022-06-24,,,,,4293,,,,
2022-06-25,,,,,9324,,,,
2022-06-26,85.4,40.3,51.0,,4030,,,,
2022-06-27,85.5,40.2,51.1,,2742,,,,
2022-06-28,84.7,40.0,50.8,,8635,,,,
2022-06-29,,,,,4868,,,,
2022-06-30,85.1,40.0,51.1,,3693,,,,
