date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2026-01-01,,,,,7596,73,89,8.37,
2026-01-02,,,,,12429,70,98,7.65,
2026-01-03,,,,,16015,70,69,7.45,
2026-01-04,,,,,23783,67,73,7.09,
2026-01-05,,,,,8454,60,82,7.30,
2026-01-06,,,,,8826,68,70,5.49,
2026-01-07,,,,,15980,64,75,6.64,
2026-01-08,,,,,20753,63,70,7.80,
2026-01-09,,,,,19779,72,85,7.02,
2026-01-10,,,,,11416,68,87,6.49,
2026-01-11,,,,,19072,73,89,8.49,
2026-01-12,,,,,8745,63,87,7.83,
2026-01-13,,,,,20093,75,90,6.03,
2026-01-14,,,,,17742,74,89,6.92,
2026-01-15,,,,,14202,,84,,
2026-01-16,,,,,6302,72,87,5.50,
2026-01-17,,,,,8486,71,76,4.35,
2026-01-18,,,,,2310,65,85,4.22,
2026-01-19,84.3,,,,8811,59,86.7832,6.35,
2026-01-20,84.2,,,,14912,62,110.261,5.41,
2026-01-21,83.1,,,,1350,60,66,10.11,
2026-01-22,83.2,,,,15308,64,68,8.59,
2026-01-23,,,,,4840,58,68,6.75,
2026-01-24,,,,,5973,63,74,6.87,
2026-01-25,,,,,2451,65,71,6.08,
2026-01-26,83.7,,,,4792,63,75,7.14,
2026-01-27,,,,,10604,59,112.457,5.28,
2026-01-28,83.4,,,,6069,60,76,7.17,
2026-01-29,,,,,11053,66,68,6.59,
2026-01-30,,,,,3482,64,65,6.62,
2026-01-31,83.8,,,,6497,65,75,7.25,
