date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2024-10-01,,,,,6432,,,,
2024-10-02,,,,,4956,,,,
2024-10-03,,,,,6002,,,,
2024-10-04,,,,,4669,,,,
2024-10-05,,,,,10354,,,,
2024-10-06,,,,,2218,,,,
2024-10-07,,,,,1981,,,,
2024-10-08,,,,,8161,,,,
2024-10-09,,,,,3016,,,,
2024-10-10,,,,,6538,,,,
2024-10-11,,,,,7661,,,,
2024-10-12,,,,,4563,,,,
2024-10-13,,,,,6584,,,,
2024-10-14,90.0,,,,4370,,,,
2024-10-15,89.0,,,,1417,,,,
2024-10-16,88.7,,,,4158,,,,
2024-10-17,,,,,3223,,,,
2024-10-18,88.3,,,,1193,,,,
2024-10-19,89.2,,,,543,,,,
2024-10-20,,,,,2209,,,,
2024-10-21,87.6,,,,4234,,,,
2024-10-22,85.7,,,,2558,,,,
2024-10-23,85.5,,,,1738,,,,
2024-10-24,86.4,,,,3892,,,,
2024-10-25,86.2,,,,2038,,,,
2024-10-26,86.4,,,,7233,,,,
2024-10-27,86.5,,,,1551,,,,
2024-10-28,87.2,,,,4428,,,,
2024-10-29,87.5,,,,5450,,,,
2024-10-30,87.5,,,,1609,,,,
2024-10-31,87.2,,,,1493,,,,
