date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2020-10-01,,,,,7998,,,,
2020-10-02,,,,,2681,,,,
2020-10-03,,,,,2949,,82,,
2020-10-04,,,,,9911,,,,
2020-10-05,,,,,8835,,,,
2020-10-06,,,,,2089,,,,
2020-10-07,89.8,31.3,61.7,,10716,,,,
2020-10-08,,,,,6971,,,,
2020-10-09,,,,,17042,,,,
2020-10-10,,,,,10432,,,,
2020-10-11,,,,,3475,,,,
2020-10-12,,,,,7212,,,,
2020-10-13,,,,,7107,,,,
2020-10-14,,,,,4375,,,,
2020-10-15,,,,,10052,,,,
2020-10-16,,,,,6682,,,,
2020-10-17,,,,,14535,,,,
2020-10-18,,,,,4568,,,,
2020-10-19,,,,,6701,,,,
2020-10-20,,,,,9423,,,,
2020-10-21,,,,,7999,,,,
2020-10-22,,,,,8723,,,,
2020-10-23,,,,,3048,,,,
2020-10-24,,,,,3841,,,,
2020-10-25,,,,,5027,,,,
2020-10-26,,,,,7139,,,,
2020-10-27,85.8,,,,11410,,,,
2020-10-28,,,,,7487,,,,
2020-10-29,,,,,10486,,,,
2020-10-30,,,,,4217,,,,
2020-10-31,85.7,30.2,59.8,,2205,,,,
