date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2023-11-01,89.2,,,,5038,,,,
2023-11-02,,,,,5871,,,,
2023-11-03,,,,,3928,,,,
2023-11-04,,,,,7818,,,,
2023-11-05,,,,,2030,,,,
2023-11-06,,,,,7037,,,,
2023-11-07,,,,,6482,,,,
2023-11-08,,,,,7368,,,,
2023-11-09,,,,,6564,,,,
2023-11-10,89.7,,,,7671,,,,
2023-11-11,,,,,3999,,,,
2023-11-12,,,,,5034,,,,
2023-11-13,,,,,6968,,,,
2023-11-14,,,,,5469,,,,
2023-11-15,,,,,6560,,,,
2023-11-16,,,,,2916,,,,
2023-11-17,,,,,3055,,,,
2023-11-18,,,,,6303,,,,
2023-11-19,,,,,1769,,,,
2023-11-20,89.0,,,,5783,,,,
2023-11-21,,,,,8115,,,,
2023-11-22,,,,,5639,,,,
2023-11-23,,,,,4484,,,,
2023-11-24,,,,,4110,,,,
2023-11-25,89.1,,,,3076,,,,
2023-11-26,,,,,1963,,,,
2023-11-27,,,,,6124,,,,
2023-11-28,,,,,4995,,,,
2023-11-29,,,,,5770,,,,
2023-11-30,,,,,4307,,,,
