date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2025-10-01,80.0,,,,2016,62,72,9.29,
2025-10-02,80.6,,,,1711,63,68,8.26,
2025-10-03,81.3,,,,5824,65,71,7.40,
2025-10-04,81.2,,,,18582,62,98.7958,8.74,
2025-10-05,81.3,,,,11557,59,106.891,8.00,
2025-10-06,80.5,,,,11429,65,67,7.49,
2025-10-07,80.9,,,,3094,63,70,8.15,
2025-10-08,,,,,3636,70,68,5.48,
2025-10-09,81.8,,,,10640,59,93.0864,7.07,
2025-10-10,82.7,,,,9880,63,63,8.51,
2025-10-11,81.7,,,,2871,60,72,5.33,
2025-10-12,82.3,,,,18965,63,105.948,9.63,
2025-10-13,82.7,,,,5009,63,61,8.36,
2025-10-14,,,,,11768,59,93.995,6.80,
2025-10-15,81.0,,,,2543,65,63,8.88,
2025-10-16,81.5,,,,13602,67,96.7613,7.42,
2025-10-17,81.8,,,,9971,70,94.2176,6.63,
2025-10-18,,,,,14447,69,67,7.24,
2025-10-19,82.0,,,,10355,70,90.8246,7.85,
2025-10-20,82.5,,,,1408,65,66,7.70,
2025-10-21,82.2,,,,12726,64,100.856,7.98,
2025-10-22,81.8,,,,12610,64,103.897,5.22,
2025-10-23,81.5,,,,2437,58,68,6.73,
2025-10-24,81.7,,,,14492,61,95.7746,7.40,
2025-10-25,,,,,2536,63,63,9.12,
2025-10-26,82.2,,,,8271,59,67,8.01,
2025-10-27,82.3,,,,2601,61,68,7.67,
2025-10-28,81.8,,,,2884,60,60,7.85,
2025-10-29,81.7,,,,2493,62,65,6.29,
2025-10-30,81.4,,,,14277,61,110.199,7.56,
2025-10-31,,,,,11792,67,96.6852,8.56,
