date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2026-05-01,85.2,,,,12909,66,72,8.31,
2026-05-02,,,,,26400,68,68,8.92,
2026-05-03,85.7,,,,15549,67,65,8.97,
2026-05-04,85.7,,,,14141,64,74,5.60,
2026-05-05,85.3,,,,17955,61,68,8.59,
2026-05-06,85.2,,,,16418,64,71,7.71,
2026-05-07,85.5,,,,12456,63,67,7.81,
2026-05-08,85.0,,,,11586,59,72,7.19,
2026-05-09,85.6,,,,10999,65,77,7.31,
2026-05-10,,,,,7064,67,87,6.95,
2026-05-11,,,,,3481,64,66,6.77,
2026-05-12,85.9,,,,11184,63,75,8.63,
2026-05-13,,,,,25565,74,84,8.15,
2026-05-14,85.2,,,,12363,64,82,6.37,
2026-05-15,86.2,,,,3463,67,67,8.31,
2026-05-16,86.2,,,,7534,67,76,7.78,
2026-05-17,,,,,10290,72,73,8.25,
2026-05-18,86.0,,,,7050,68,68,8.63,
2026-05-19,,,,,9061,70,72,7.82,
2026-05-20,87.3,,,,18992,64,66,8.40,
2026-05-21,87.3,,,,21742,63,67,6.25,
2026-05-22,86.8,,,,5716,63,71,6.96,
2026-05-23,87.5,,,,19610,58,57,6.84,
2026-05-24,86.8,,,,3520,64,66,8.58,
2026-05-25,86.2,,,,11687,67,71,4.85,
2026-05-26,86.0,,,,12262,64,68,7.29,
2026-05-27,85.8,,,,10850,58,60,6.34,
2026-05-28,85.8,,,,10730,60,72,9.16,
2026-05-29,86.1,,,,3023,66,67,9.37,
2026-05-30,86.7,,,,2620,65,65,7.32,
2026-05-31,86.7,,,,16207,64,74,7.91,
