date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2023-03-01,,,,,3359,,,,
2023-03-02,,,,,8553,,,,
2023-03-03,,,,,6863,,,,
2023-03-04,,,,,4233,,,,
2023-03-05,88.2,,,,1045,,,,
2023-03-06,87.5,,,,7753,,,,
2023-03-07,,,,,806,,,,
2023-03-08,86.0,,,,2331,,,,
2023-03-09,,,,,1869,,,,
2023-03-10,,,,,5258,,,,
2023-03-11,,,,,4378,,,,
2023-03-12,,,,,9511,,,,
2023-03-13,,,,,9192,,,,
2023-03-14,,,,,10867,,,,
2023-03-15,,,,,8001,,,,
2023-03-16,,,,,8701,,,,
2023-03-17,,,,,10846,,,,
2023-03-18,88.5,,,,3241,,,,
2023-03-19,86.5,39.9,51.4,,4468,,,,
2023-03-20,,,,,7068,,,,
2023-03-21,,,,,9199,,,,
2023-03-22,,,,,8526,,,,
2023-03-23,88.2,,,,6424,,,,
2023-03-24,,,,,5729,,,,
2023-03-25,,,,,5711,,,,
2023-03-26,,,,,4367,,,,
2023-03-27,,,,,9828,,,,
2023-03-28,,,,,9868,,,,
2023-03-29,,,,,7254,,,,
2023-03-30,,,,,10622,,,,
2023-03-31,,,,,7250,,,,
