date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2022-09-01,,,,,15327,,,,
2022-09-02,,,,,2872,,,,
2022-09-03,,,,,5732,,,,
2022-09-04,,,,,5863,,,,
2022-09-05,,,,,5665,,,,
2022-09-06,,,,,7350,,,,
2022-09-07,,,,,10763,,,,
2022-09-08,,,,,12315,,,,
2022-09-09,,,,,6329,,,,
2022-09-10,,,,,2498,,,,
2022-09-11,,,,,7681,,,,
2022-09-12,,,,,6047,,,,
2022-09-13,,,,,12284,,,,
2022-09-14,,,,,8089,,,,
2022-09-15,,,,,10926,,,,
2022-09-16,,,,,6962,,,,
2022-09-17,85.9,40.4,51.2,,7114,,,,
2022-09-18,,,,,10274,,,,
2022-09-19,,,,,8465,,,,
2022-09-20,,,,,9056,,,,
2022-09-21,,,,,9934,,,,
2022-09-22,,,,,7215,,,,
2022-09-23,,,,,6971,,,,
2022-09-24,,,,,9618,,,,
2022-09-25,,,,,9952,,,,
2022-09-26,,,,,12273,,,,
2022-09-27,,,,,10392,,,,
2022-09-28,,,,,12009,,,,
2022-09-29,,,,,8404,,,,
2022-09-30,,,,,16539,,,,
