date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2021-02-01,85.9,30.4,59.8,,322,,,,
2021-02-02,,,,,5694,,,,
2021-02-03,,,,,2961,,,,
2021-02-04,,,,,7177,,,,
2021-02-05,,,,,2790,,,,
2021-02-06,,,,,6588,,,,
2021-02-07,,,,,377,,,,
2021-02-08,86.6,30.6,60.1,,1815,,,,
2021-02-09,,,,,357,,,,
2021-02-10,,,,,9385,,,,
2021-02-11,,,,,584,,,,
2021-02-12,86.6,30.4,60.3,,1455,,,,
2021-02-13,,,,,4967,,,,
2021-02-14,86.7,30.1,60.6,,6997,,,,
2021-02-15,,,,,5419,,,,
2021-02-16,,,,,2463,,,,
2021-02-17,,,,,12807,,,,
2021-02-18,,,,,5769,,,,
2021-02-19,,,,,848,,,,
2021-02-20,,,,,3679,,,,
2021-02-21,,,,,5115,,,,
2021-02-22,,,,,2582,,,,
2021-02-23,,,,,3557,,,,
2021-02-24,87.0,30.3,60.6,,1160,,,,
2021-02-25,,,,,1837,,,,
2021-02-26,,,,,620,,,,
2021-02-27,,,,,977,,,,
2021-02-28,,,,,7516,,,,
