date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2025-06-01,83.5,,,,27531,62,102.269,9.22,
2025-06-02,81.9,,,,16196,61,106.434,7.03,
2025-06-03,82.0,,,,14761,63,127.358,7.09,
2025-06-04,82.2,,,,19850,59,96.2268,7.05,
2025-06-05,82.3,,,,11928,60,91.75,6.96,
2025-06-06,82.2,,,,9032,63,63,8.38,
2025-06-07,82.5,,,,11352,58,97.6364,7.13,
2025-06-08,82.1,,,,2441,64,68,7.05,
2025-06-09,81.5,,,,9680,59,98.4404,7.35,
2025-06-10,81.8,,,,9668,59,97.0314,7.84,
2025-06-11,80.8,,,,14231,57,87.1896,8.36,
2025-06-12,81.1,,,,9883,61,70,8.02,
2025-06-13,,,,,5898,63,59,7.99,
2025-06-14,,,,,16622,60,94.589,8.33,
2025-06-15,,,,,8025,63,63,7.06,
2025-06-16,82.1,,,,13439,60,95.1659,5.38,
2025-06-17,81.5,,,,12938,66,105.294,8.64,
2025-06-18,80.9,,,,9266,64,99.9899,7.70,
2025-06-19,81.2,,,,8517,62,71,6.45,
2025-06-20,,,,,14620,60,62,5.76,
2025-06-21,80.9,,,,22387,60,105.935,7.63,
2025-06-22,81.1,,,,13141,59,94.3952,6.87,
2025-06-23,,,,,12867,57,91.544,4.67,
2025-06-24,,,,,10288,59,55,8.38,
2025-06-25,80.3,,,,12451,57,104.088,6.32,
2025-06-26,80.2,,,,24247,60,96.1141,8.28,
2025-06-27,79.7,,,,13863,59,58,6.63,
2025-06-28,79.8,,,,6809,62,65,7.46,
2025-06-29,81.7,,,,6644,59,62,6.31,
2025-06-30,80.7,,,,14418,60,98.0585,7.27,
