date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2024-12-01,,,,,17867,,108,,
2024-12-02,86.3,,,,15502,,131,,
2024-12-03,,,,,18587,,112,,
2024-12-04,86.0,,,,11897,,108,,
2024-12-05,,,,,11741,,158,,
2024-12-06,,,,,1338,,,,
2024-12-07,,,,,3413,,,,
2024-12-08,,,,,5870,,,,
2024-12-09,85.0,,,,16278,,146,,
2024-12-10,,,,,18642,,103,,
2024-12-11,,,,,248,,,,
2024-12-12,,,,,16932,,69,,
2024-12-13,,,,,12291,,138,,
2024-12-14,,,,,6922,,,,
2024-12-15,,,,,2625,,,,
2024-12-16,84.2,,,,10865,,,,
2024-12-17,,,,,15048,,149,,
2024-12-18,,,,,6848,,,,
2024-12-19,,,,,10507,,,,
2024-12-20,,,,,4993,,,,
2024-12-21,,,,,10071,,,,
2024-12-22,,,,,6095,,,,
2024-12-23,82.7,,,,16205,,68,,
2024-12-24,,,,,2813,,,,
2024-12-25,,,,,511,,,,
2024-12-26,,,,,406,,,,
2024-12-27,,,,,1997,,,,
2024-12-28,,,,,1026,,,,
2024-12-29,,,,,358,,,,
2024-12-30,83.0,,,,10330,,,,
2024-12-31,,,,,1658,,,,
