date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2020-11-01,,,,,7804,,,,
2020-11-02,,,,,6453,,,,
2020-11-03,,,,,5628,,,,
2020-11-04,,,,,6056,,,,
2020-11-05,,,,,10805,,,,
2020-11-06,,,,,5848,,,,
2020-11-07,87.5,,,,6867,,,,
2020-11-08,87.0,30.4,60.6,,4737,,,,
2020-11-09,,,,,5317,,,,
2020-11-10,,,,,7255,,,,
2020-11-11,,,,,5999,,,,
2020-11-12,,,,,7316,,,,
2020-11-13,,,,,7182,,,,
2020-11-14,,,,,5767,,,,
2020-11-15,,,,,4005,,,,
2020-11-16,,,,,6109,,,,
2020-11-17,,,,,8074,,,,
2020-11-18,,,,,4956,,,,
2020-11-19,,,,,7859,,,,
2020-11-20,86.3,30.1,59.7,,6657,,,,
2020-11-21,,,,,785,,,,
2020-11-22,,,,,8572,,,,
2020-11-23,,,,,10792,,,,
2020-11-24,,,,,6255,,,,
2020-11-25,,,,,5374,,,,
2020-11-26,,,,,7582,,,,
2020-11-27,85.6,29.8,60.1,,13032,,,,
2020-11-28,84.9,29.7,59.7,,1560,,,,
2020-11-29,,,,,7491,,,,
2020-11-30,,,,,5784,,,,
