date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2024-01-01,,,,,6973,,,,
2024-01-02,,,,,2198,,,,
2024-01-03,,,,,265,,,,
2024-01-04,,,,,13120,,,,
2024-01-05,,,,,873,,,,
2024-01-06,,,,,9270,,,,
2024-01-07,90.4,,,,1967,,,,
2024-01-08,90.4,,,,6468,,,,
2024-01-09,,,,,665,,,,
2024-01-10,,,,,231,,,,
2024-01-11,,,,,4401,,,,
2024-01-12,,,,,897,,,,
2024-01-13,,,,,450,,,,
2024-01-14,,,,,1547,,,,
2024-01-15,,,,,3458,,,,
2024-01-16,,,,,5676,,,,
2024-01-17,,,,,6144,,,,
2024-01-18,,,,,5673,,,,
2024-01-19,,,,,1541,,,,
2024-01-20,,,,,3444,,,,
2024-01-21,,,,,714,,,,
2024-01-22,,,,,9988,,,,
2024-01-23,,,,,8348,,,,
2024-01-24,,,,,9608,,,,
2024-01-25,,,,,9363,,,,
2024-01-26,90.9,,,,3334,,,,
2024-01-27,,,,,4361,,,,
2024-01-28,,,,,680,,,,
2024-01-29,90.2,,,,653,,,,
2024-01-30,,,,,2319,,,,
2024-01-31,,,,,4629,,,,
