date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2025-08-01,80.8,,,,10756,63,62,7.43,
2025-08-02,81.6,,,,17583,60,104.145,8.03,
2025-08-03,81.7,,,,3764,63,65,8.52,
2025-08-04,80.8,,,,11748,61,101.833,7.71,
2025-08-05,80.5,,,,11790,63,63,8.28,
2025-08-06,81.3,,,,10675,66,74,8.90,
2025-08-07,81.5,,,,12123,67,72,7.42,
2025-08-08,82.8,,,,11544,63,102.174,7.73,
2025-08-09,82.0,,,,9847,66,69,9.03,
2025-08-10,82.6,,,,14593,64,105.236,8.71,
2025-08-11,82.1,,,,12460,61,98.0102,6.77,
2025-08-12,,,,,12557,60,114.447,8.24,
2025-08-13,81.8,,,,10212,63,66,8.48,
2025-08-14,81.8,,,,7145,65,71,9.12,
2025-08-15,81.8,,,,12479,66,140.307,6.60,
2025-08-16,82.2,,,,8697,63,64,8.65,
2025-08-17,82.0,,,,2684,65,66,7.87,
2025-08-18,81.2,,,,3402,72,78,5.58,
2025-08-19,81.7,,,,4230,61,63,7.58,
2025-08-20,,,,,8628,60,59,8.95,
2025-08-21,81.5,,,,3467,56,58,8.86,
2025-08-22,81.2,,,,9435,60,81.2752,7.36,
2025-08-23,81.3,,,,3598,59,65,7.12,
2025-08-24,,,,,18423,61,104.632,7.35,
2025-08-25,81.8,,,,3354,65,79,6.53,
2025-08-26,81.1,,,,12364,63,69,8.29,
2025-08-27,,,,,2761,62,69,8.04,
2025-08-28,80.6,,,,12408,61,68,7.94,
2025-08-29,,,,,18760,62,132.445,8.61,
2025-08-30,,,,,3627,59,65,8.03,
2025-08-31,81.0,,,,3120,62,71,7.71,
