date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2022-11-01,,,,,4560,,,,
2022-11-02,85.8,,,,7037,,,,
2022-11-03,,,,,8104,,,,
2022-11-04,,,,,2672,,,,
2022-11-05,,,,,3284,,,,
2022-11-06,,,,,3650,,,,
2022-11-07,,,,,9788,,,,
2022-11-08,,,,,19433,,,,
2022-11-09,,,,,8623,,,,
2022-11-10,,,,,11985,,,,
2022-11-11,,,,,3722,,,,
2022-11-12,,,,,5259,,,,
2022-11-13,,,,,6682,,,,
2022-11-14,,,,,1010,,,,
2022-11-15,,,,,931,,,,
2022-11-16,,,,,3078,,,,
2022-11-17,,,,,1587,,,,
2022-11-18,,,,,5848,,,,
2022-11-19,,,,,5481,,,,
2022-11-20,,,,,3965,,,,
2022-11-21,,,,,377,,,,
2022-11-22,87.7,40.9,51.8,,918,,,,
2022-11-23,,,,,1927,,,,
2022-11-24,,,,,1801,,,,
2022-11-25,,,,,966,,,,
2022-11-26,,,,,1070,,,,
2022-11-27,,,,,398,,,,
2022-11-28,,,,,518,,,,
2022-11-29,,,,,4999,,,,
2022-11-30,,,,,2976,,,,
