date,weight_kg,body_fat_pct,muscle_kg,bmr,steps,resting_hr,avg_hr,sleep_h,notes
2022-07-01,85.3,40.2,51.0,,6991,,,,
2022-07-02,,,,,12257,,,,
2022-07-03,69.7,,,,3597,,,,
2022-07-04,,,,,5148,,,,
2022-07-05,,,,,6082,,,,
2022-07-06,,,,,3848,,,,
2022-07-07,85.5,40.0,51.3,,1360,,,,
2022-07-08,,,,,1294,,,,
2022-07-09,,,,,2296,,,,
2022-07-10,,,,,11762,,,,
2022-07-11,,,,,3789,,,,
2022-07-12,,,,,8496,,,,
2022-07-13,,,,,7679,,,,
2022-07-14,,,,,16149,,,,
2022-07-15,,,,,13491,,,,
2022-07-16,,,,,9944,,,,
2022-07-17,87.0,40.5,51.8,,2953,,,,
2022-07-18,,,,,8220,,,,
2022-07-19,86.8,40.7,51.5,,4134,,,,
2022-07-20,,,,,1855,,,,
2022-07-21,86.5,40.5,51.5,,163,,,,
2022-07-22,,,,,11231,,,,
2022-07-23,,,,,4084,,,,
2022-07-24,,,,,9702,,,,
2022-07-25,,,,,2934,,,,
2022-07-26,,,,,5743,,,,
2022-07-27,,,,,1692,,,,
2022-07-28,,,,,3123,,,,
2022-07-29,,,,,4014,,,,
2022-07-30,,,,,10586,,,,
2022-07-31,,,,,7546,,,,
